dest_iso3,year,gdp_pc
AUT,2024,53830.0
BEL,2024,52370.0
BGR,2024,16260.0
CHE,2024,99430.0
CYP,2024,35730.0
CZE,2024,29440.0
DEU,2024,51830.0
DNK,2024,65650.0
ESP,2024,32630.0
EST,2024,28990.0
FIN,2024,49100.0
FRA,2024,42590.0
GRC,2024,22480.0
HRV,2024,22200.0
HUN,2024,21550.0
IRL,2024,104510.0
ISL,2024,79400.0
ITA,2024,37310.0
LTU,2024,27350.0
LUX,2024,127030.0
LVA,2024,21640.0
MKD,2024,8590.0
MLT,2024,40620.0
MNE,2024,12260.0
NLD,2024,62380.0
NOR,2024,80200.0
POL,2024,22610.0
PRT,2024,27060.0
ROU,2024,18560.0
SRB,2024,12640.0
SVK,2024,23850.0
SVN,2024,31700.0
SWE,2024,52550.0
