STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,citizen,Country of citizenship,age,Age class,unit,Unit of measure,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,AT,Austria,2015,,288028,,,,,
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,AT,Austria,2016,,310759,,,,,
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,AT,Austria,2017,,329981,,,,,
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,AT,Austria,2018,,348012,,,,,
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,AT,Austria,2019,,365125,,,,,
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,AT,Austria,2020,,383295,,,,,
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,BE,Belgium,2015,,416232,,,,,
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,BE,Belgium,2016,,428008,,,,,
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,BE,Belgium,2017,,434889,,,,,
dataflow,ESTAT:MIGR_POP1CTZ$DEFAULTVIEW(1.0),"Population on 1 January by age group, sex and citizenship",A,Annual,EU28_FOR,EU28 countries (2013-2020) except reporting country,TOTAL,Total,NR,Number,F,Females,BE,Belgium,2018,,440355,,,,,
