STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2015,,3590,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2016,,3770,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2017,,4100,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2018,,4540,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2019,,4880,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2020,,4710,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2021,,5420,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AL,Albania,2022,,6500,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2015,,39640,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2016,,40690,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2017,,41760,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2018,,43360,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2019,,44570,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2020,,42650,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2021,,45380,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2022,,49640,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2023,,52330,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,AT,Austria,2024,,53830,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2015,,36860,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2016,,37810,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2017,,38980,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2018,,40210,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2019,,41730,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2020,,40190,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2021,,43680,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2022,,48060,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2023,,51140,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BE,Belgium,2024,,52370,,p,provisional,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2015,,6560,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2016,,7070,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2017,,7720,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2018,,8340,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2019,,9250,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2020,,9440,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2021,,10960,,,,,
dataflow,ESTAT:NAMA_10_PC$DEFAULTVIEW(1.0),Gross domestic product (GDP) and main components per capita,A,Annual,CP_EUR_HAB,"Current prices, euro per capita",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2022,,13310,,,,,
